year,stat,player,team,value,link
1957,ERA,Bobby Shantz,New York,2.45,https://www.baseball-almanac.com/pitching/piera4.shtml
1957,Games,George Zuverink,Baltimore,56,https://www.baseball-almanac.com/pitching/pigamp4.shtml
1957,Saves,Bob Grim,New York,19,https://www.baseball-almanac.com/pitching/pisave4.shtml
1957,Shutouts,Jim Wilson,Chicago,5,https://www.baseball-almanac.com/pitching/pishut4.shtml
1957,Strikeouts,Early Wynn,Cleveland,184,https://www.baseball-almanac.com/pitching/pistrik4.shtml
1957,Winning Percentage,Dick Donovan,Chicago,.727,https://www.baseball-almanac.com/pitching/piwper4.shtml
1957,Wins,Jim Bunning,Detroit,20,https://www.baseball-almanac.com/pitching/piwins4.shtml
1957,Statistic,Name(s),Team(s),#,
1957,Team [Click for roster],Wins,Losses,WP,
1957,New York Yankees,98,56,.636,https://www.baseball-almanac.com/teamstats/roster.php?y=1957&t=NYA
1957,Chicago White Sox,90,64,.584,https://www.baseball-almanac.com/teamstats/roster.php?y=1957&t=CHA
1957,Boston Red Sox,82,72,.532,https://www.baseball-almanac.com/teamstats/roster.php?y=1957&t=BOS
1957,Detroit Tigers,78,76,.506,https://www.baseball-almanac.com/teamstats/roster.php?y=1957&t=DET
1957,Baltimore Orioles,76,76,.500,https://www.baseball-almanac.com/teamstats/roster.php?y=1957&t=BAL
1957,Cleveland Indians,76,77,.497,https://www.baseball-almanac.com/teamstats/roster.php?y=1957&t=CLE
1957,Kansas City Athletics,59,94,.386,https://www.baseball-almanac.com/teamstats/roster.php?y=1957&t=KC1
1957,Washington Senators,55,99,.357,https://www.baseball-almanac.com/teamstats/roster.php?y=1957&t=WS1
1958,Statistic,Name(s),Team(s),#,
1958,Base on Balls,Mickey Mantle,New York,129,https://www.baseball-almanac.com/hitting/hiwalk4.shtml
1958,Batting Average,Ted Williams,Boston,.328,https://www.baseball-almanac.com/hitting/hibavg3.shtml
1958,Doubles,Harvey Kuenn,Detroit,39,https://www.baseball-almanac.com/hitting/hi2b3.shtml
1958,Hits,Nellie Fox,Chicago,187,https://www.baseball-almanac.com/hitting/hihits4.shtml
1958,Home Runs,Mickey Mantle,New York,42,https://www.baseball-almanac.com/hitting/hihr5.shtml
1958,On Base Percentage,Ted Williams,Boston,.462,https://www.baseball-almanac.com/hitting/hiobp4.shtml
1958,RBI,Jackie Jensen,Boston,122,https://www.baseball-almanac.com/hitting/hirbi5.shtml
1958,Runs,Mickey Mantle,New York,127,https://www.baseball-almanac.com/hitting/hiruns2.shtml
1958,Slugging Average,Rocky Colavito,Cleveland,.620,https://www.baseball-almanac.com/hitting/hislug4.shtml
1958,Stolen Bases,Luis Aparacio,Chicago,29,https://www.baseball-almanac.com/hitting/hisb4.shtml
1958,Total Bases,Mickey Mantle,New York,307,https://www.baseball-almanac.com/hitting/hitotb4.shtml
1958,Triples,Vic Power,Kansas City,10,https://www.baseball-almanac.com/hitting/hitrip4.shtml
1958,Statistic,Name(s),Team(s),#,
1958,Statistic,Name(s),Team(s),#,
1958,Complete Games,Frank Lary,Detroit,19,https://www.baseball-almanac.com/pitching/picomg4.shtml
1958,ERA,Whitey Ford,New York,2.01,https://www.baseball-almanac.com/pitching/piera4.shtml
1958,Games,Tex Clevenger,Washington,55,https://www.baseball-almanac.com/pitching/pigamp4.shtml
1958,Saves,Ryne Duren,New York,20,https://www.baseball-almanac.com/pitching/pisave4.shtml
